2025-01-23 22:42:56 startup archives unpack
2025-01-23 22:42:56 install python3-idna:all <none> 3.3-1+deb12u1
2025-01-23 22:42:56 status half-installed python3-idna:all 3.3-1+deb12u1
2025-01-23 22:42:56 status unpacked python3-idna:all 3.3-1+deb12u1
2025-01-23 22:42:56 install python3-cffi-backend:amd64 <none> 1.15.1-5+b1
2025-01-23 22:42:56 status half-installed python3-cffi-backend:amd64 1.15.1-5+b1
2025-01-23 22:42:56 status unpacked python3-cffi-backend:amd64 1.15.1-5+b1
2025-01-23 22:42:56 install libc-ares2:amd64 <none> 1.18.1-3
2025-01-23 22:42:56 status triggers-pending libc-bin:amd64 2.36-9+deb12u9
2025-01-23 22:42:56 status half-installed libc-ares2:amd64 1.18.1-3
2025-01-23 22:42:56 status unpacked libc-ares2:amd64 1.18.1-3
2025-01-23 22:42:56 install python3-pycares:amd64 <none> 4.3.0-2
2025-01-23 22:42:56 status half-installed python3-pycares:amd64 4.3.0-2
2025-01-23 22:42:56 status unpacked python3-pycares:amd64 4.3.0-2
2025-01-23 22:42:56 install python3-aiodns:all <none> 3.0.0-2
2025-01-23 22:42:56 status half-installed python3-aiodns:all 3.0.0-2
2025-01-23 22:42:56 status unpacked python3-aiodns:all 3.0.0-2
2025-01-23 22:42:56 install python3-multidict:amd64 <none> 6.0.4-1+b1
2025-01-23 22:42:56 status half-installed python3-multidict:amd64 6.0.4-1+b1
2025-01-23 22:42:56 status unpacked python3-multidict:amd64 6.0.4-1+b1
2025-01-23 22:42:56 install python3-yarl:amd64 <none> 1.8.2-1+b1
2025-01-23 22:42:56 status half-installed python3-yarl:amd64 1.8.2-1+b1
2025-01-23 22:42:56 status unpacked python3-yarl:amd64 1.8.2-1+b1
2025-01-23 22:42:56 install python3-typing-extensions:all <none> 4.4.0-1
2025-01-23 22:42:56 status half-installed python3-typing-extensions:all 4.4.0-1
2025-01-23 22:42:56 status unpacked python3-typing-extensions:all 4.4.0-1
2025-01-23 22:42:56 install python3-async-timeout:all <none> 4.0.2-1
2025-01-23 22:42:56 status half-installed python3-async-timeout:all 4.0.2-1
2025-01-23 22:42:56 status unpacked python3-async-timeout:all 4.0.2-1
